Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: p11at09.csv,,,,,,,,,,,,,
"Appendix table 9. Estimated percent of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, December 31, 2008",,,,,,,,,,,,,
Report title: Prisoners in 2011 NCJ 239808,,,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,,,
Author(s): E. Ann Carson and William J. Sabol,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,
Date of version: 12/05/2012,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
"Appendix table 9. Estimated percent of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, December 31, 2008",,,,,,,,,,,,,
Offense,,All inmates,,Male,,Female,,White/a,,Black/a,,Hispanic,
,Total,100,%,100,%,100,%,100,%,100,%,100,%
Violent,,52,%,53.2,%,35.3,%,49.6,%,53.1,%,54.4,%
,Murder/b,12.2,,12.4,,10.1,,10,,13.5,,13.2,
,Manslaughter,1.5,,1.5,,2.8,,1.9,,1.4,,1,
,Rape,5.3,,5.6,,0.7,,7.3,,4.2,,3.2,
,Other sexual assault,6.6,,7,,1.3,,9.8,,3.5,,8.1,
,Robbery,13.6,,14,,8.5,,8.8,,18.1,,13,
,Assault,10.1,,10.2,,8.7,,9.1,,10,,12.8,
,Other violent,2.7,,2.6,,3.2,,2.8,,2.4,,3.1,
Property,,18.5,%,17.8,%,28.5,%,23.9,%,14.7,%,15.5,%
,Burglary,9.5,,9.7,,6.6,,11.7,,8.2,,7.9,
,Larceny,3.2,,2.9,,7.8,,4.1,,2.7,,2.5,
,Motor vehicle theft,1.3,,1.3,,1.5,,1.5,,0.7,,2.6,
,Fraud,2.3,,1.8,,9.9,,3.5,,1.7,,1.1,
,Other property,2.1,,2,,2.7,,3.1,,1.4,,1.5,
Drug/c,,18.9,%,18.3,%,27.3,%,14.8,%,23,%,17.9,%
Public-order/d,,9.9,%,10.1,%,7.7,%,10.9,%,8.5,%,11.7,%
Other/unspecified/e,,0.7,%,0.7,%,1.1,%,0.8,%,0.6,%,0.5,%
Note: Counts are used to generate percentages based on prisoners with a sentence of more than 1 year.  Detail may sum add to total due to rounding. See Methodology for estimation method.,,,,,,,,,,,,,
a/Excludes persons of Hispanic or Latino origin and persons of two or more races.,,,,,,,,,,,,,
b/Includes non-negligent manslaughter.,,,,,,,,,,,,,
"c/Includes trafficking, possession, and other drug offenses.",,,,,,,,,,,,,
"d/Includes weapons, drunk driving, court offenses, commercialized vice, morals and decency offenses, liquor law violations, and other public-order offenses.",,,,,,,,,,,,,
e/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics Program and National Corrections Reporting Program, 2008.",,,,,,,,,,,,,
