Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: p11at11.csv,,,,,,,,,,,,,
"Appendix table 11. Estimated percent of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, December 31, 2010",,,,,,,,,,,,,
Report title: Prisoners in 2011 NCJ 239808,,,,,,,,,,,,,
Data source(s): National Prisoner Statistics Program,,,,,,,,,,,,,
Author(s): E. Ann Carson and William J. Sabol,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,
Date of version: 12/05/2012,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
"Appendix table 11. Estimated percent of sentenced prisoners under state jurisdiction, by offense, sex, race, and Hispanic origin, December 31, 2010",,,,,,,,,,,,,
Offense,,All inmates,,Male,,Female,,White/a,,Black/a,,Hispanic,
,Total,100,%,100,%,100,%,100,%,100,%,100,%
Violent,,53.2,%,54.3,%,36.6,%,49.5,%,55.2,%,56.7,%
,Murder/b,12.2,,12.4,,10.1,,10.1,,13.5,,13.4,
,Manslaughter,1.6,,1.5,,2.9,,1.8,,1.5,,1.1,
,Rape,5.2,,5.4,,0.8,,6.9,,4.3,,3,
,Other sexual assault,6.7,,7,,1.4,,9.4,,3.3,,9.1,
,Robbery,13.6,,14,,8.9,,8.6,,18.6,,13.1,
,Assault,10.8,,10.9,,9.1,,9.5,,11,,13.3,
,Other violent,3.2,,3.2,,3.4,,3.2,,3,,3.7,
Property,,18.3,%,17.6,%,28.9,%,23.6,%,14.7,%,14.5,%
,Burglary,9.5,,9.8,,7,,11.6,,8.3,,7.8,
,Larceny,3.4,,3,,8.5,,4.4,,2.8,,2.3,
,Motor vehicle theft,1.1,,1.1,,1.1,,1.3,,0.6,,2,
,Fraud,2.3,,1.7,,9.7,,3.4,,1.6,,1,
,Other property,2,,2,,2.6,,3,,1.4,,1.4,
Drug/c,,17.4,%,17,%,25.1,%,14.8,%,20.4,%,16.5,%
Public-order/d,,10.5,%,10.6,%,8.4,%,11.3,%,9.2,%,11.9,%
Other/unspecified/e,,0.6,%,0.6,%,1,%,0.7,%,0.5,%,0.4,%
Note: Counts are used to generate percentages based on prisoners with a sentence of more than 1 year.  Detail may not sum to total due to rounding. See Methodology for estimation method.,,,,,,,,,,,,,
a/Excludes persons of Hispanic or Latino origin and persons of two or more races.,,,,,,,,,,,,,
b/Includes non-negligent manslaughter.,,,,,,,,,,,,,
"c/Includes trafficking, possession, and other drug offenses.",,,,,,,,,,,,,
"d/Includes weapons, drunk driving, court offenses, commercialized vice, morals and decency offenses, liquor law violations, and other public-order offenses.",,,,,,,,,,,,,
e/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics Program and National Corrections Reporting Program, 2010.",,,,,,,,,,,,,
