Bureau of Justice Statistics,,,,,,,,,
Filename: p12tar9112t12.csv,,,,,,,,,
"Table 12. Estimated releases from state prison, by most serious offense, 1991, 2001, 2006, and 2011",,,,,,,,,
Report title: Prisoners in 2012: Trends in Admissions and Releases 1991-2012 NCJ 243920,,,,,,,,,
"Data source(s): National Prisoner Statistics Program, National Corrections Reporting Program",,,,,,,,,
Author(s): E. Ann Carson and Daniela Golinelli,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,
Date of version: 12/19/2013,,,,,,,,,
 ,,,,,,,,,
"Table 12. Estimated releases from state prison, by most serious offense, 1991, 2001, 2006, and 2011",,,,,,,,,
Most serious offense,,1991,,2001,,2006,,2011,
,Total,100,%,100,%,100,%,100,%
Violent,,24.1,%,25.7,%,25,%,27.9,%
,Murder/a,1.8,,1.5,,1.3,,1.4,
,Negligent manslaughter,0.9,,0.7,,0.6,,0.7,
,Rape/sexual assault,4.1,,4.5,,4.4,,5.3,
,Robbery,10.4,,8.7,,7.2,,7.8,
,Assault,6,,8.3,,9.3,,10.3,
,Other violent,1,,1.9,,2.2,,2.4,
Property,,37.5,%,30.1,%,30,%,29.4,%
,Burglary,17.2,,12.1,,11.1,,12,
,Larceny,10.3,,7.7,,6.9,,6.1,
,Motor vehicle theft,2.7,,2.8,,3.5,,3.1,
,Fraud,4.3,,4.1,,4.8,,3.9,
,Other property,3,,3.6,,3.7,,4.2,
Drug,,27.9,%,33.7,%,30.9,%,26.7,%
,Possession,7,,8.8,,10,,8.5,
,Other drug/b,21,,24.9,,20.9,,18.3,
Public order/c,,8.6,%,10,%,13.5,%,15,%
Other/unspecified/d,,1.9,%,0.5,%,0.6,%,1,%
,Number of releases ,"419,831",,"590,256",,"661,954",,"635,833",
"Note: Counts based on prisoners with a sentence of more than 1 year released from state prison. Excludes transfers, escapes, and those absent without leave (AWOL).  Detail may not sum to total due to rounding and missing offense data. Release totals from National Prisoner Statistics Program. Offense distribution based on National Corrections Reporting Program administrative data. See Methodology. Estimates may vary from those previously published due to differences in methodology.",,,,,,,,,
a/Includes nonnegligent manslaughter.,,,,,,,,,
b/Includes drug trafficking.,,,,,,,,,
"c/Includes weapons, drunk driving, and court offenses; habitual offender sanctions; commercialized vice, morals, and decency offenses; and liquor law violations and other public order offenses.",,,,,,,,,
d/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics Program and National Corrections Reporting Program, 1991, 2001, 2006, and 2011.",,,,,,,,,
