Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: p12tar9112t05.csv,,,,,,,,,,,,,,,,,,,,
"Table 5. Estimated state prison admissions, by type of admission and most serious offense, 1991, 2001, 2006, and 2011",,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2012: Trends in Admissions and Releases 1991-2012 NCJ 243920,,,,,,,,,,,,,,,,,,,,
"Data source(s): National Prisoner Statistics Program, National Corrections Reporting Program",,,,,,,,,,,,,,,,,,,,
Author(s): E. Ann Carson and Daniela Golinelli,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,
Date of version: 12/19/2013,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
"Table 5. Estimated state prison admissions, by type of admission and most serious offense, 1991, 2001, 2006, and 2011",,,,,,,,,,,,,,,,,,,,
,,1991,,,,,2001,,,,,2006,,,,,2011,,,
,,New court ,,Parole ,,,New court ,,Parole ,,,New court ,,Parole ,,,New court ,,Parole ,
Most serious offense/a,,commitment,,violation/a,,,commitment,,violation/a,,,commitment,,violation/a,,,commitment,,violation/a,
,Total,100,%,100,%,,100,%,100,%,,100,%,100,%,,100,%,100,%
Violent,,28.7,%,23.7,%,,29.4,%,23.9,%,,27.3,%,24.1,%,,30,%,27.4,%
,Murder/b,3,,1.7,,,2.5,,1.3,,,2,,1.1,,,2.4,,1.2,
,Negligent manslaughter,1.3,,0.5,,,1,,0.4,,,0.8,,0.4,,,0.8,,0.3,
,Rape/sexual assault,5.6,,3.6,,,6.3,,3.4,,,5.7,,3.9,,,5.7,,4.8,
,Robbery,9.9,,11.6,,,8.1,,9.2,,,6.8,,7.4,,,7.9,,8.4,
,Assault,7.5,,5.5,,,9.2,,7.9,,,9.5,,9.1,,,10.7,,10.5,
,Other violent,1.4,,0.7,,,2.3,,1.8,,,2.4,,2.1,,,2.5,,2.2,
Property,,31.4,%,42.4,%,,27.4,%,32.5,%,,26.9,%,33.3,%,,27.5,%,32.4,%
,Burglary,13.5,,20.8,,,10.4,,12.9,,,9.9,,12.4,,,12.1,,13.1,
,Larceny,8.1,,11.7,,,6.6,,8.8,,,6.1,,7.4,,,5.9,,6.6,
,Motor vehicle theft,2.4,,4.1,,,2,,3.9,,,2.4,,5.4,,,1.7,,4.9,
,Fraud,3.8,,4.1,,,4.7,,3.3,,,4.9,,4.1,,,4.1,,3.4,
,Other property,3.6,,1.8,,,3.7,,3.5,,,3.5,,4,,,3.8,,4.4,
Drug,,29.9,%,25.5,%,,30.5,%,35.1,%,,28.8,%,31.7,%,,24.9,%,26.2,%
,Possession,6.9,,7,,,8.7,,9.1,,,9.6,,9.7,,,7.8,,8.7,
,Other drug/c,23,,18.5,,,21.8,,26,,,19.2,,22,,,17.2,,17.5,
Public order/d,,8.9,%,6.1,%,,12.1,%,8,%,,16.4,%,10.3,%,,16.8,%,13.2,%
Other/unspecified/e,,1.1,%,2.3,%,,0.6,%,0.5,%,,0.6,%,0.6,%,,0.8,%,0.8,%
,Number of admissions,"317,237",,"142,100",,,"365,229",,"215,344",,,"442,111",,"239,285",,,"398,709",,"200,481",
"Note: Based on prisoners with a sentence of more than 1 year admitted to state prison on a new court commitment or on a conditional release violation, either for a release condition violation or for a new crime. Detail may not sum to total due to rounding and missing offense data. Admission totals from National Prisoner Statistics Program. Offense distribution based on National Corrections Reporting Program administrative data. See Methodology. Estimates may vary from those previously published due to differences in methodology.",,,,,,,,,,,,,,,,,,,,
"a/For parole violation admissions, most serious offense refers to the original offense for which an inmate was sentenced, not the incident causing the parole revocation.",,,,,,,,,,,,,,,,,,,,
b/Includes nonnegligent manslaughter.,,,,,,,,,,,,,,,,,,,,
c/Includes drug trafficking.,,,,,,,,,,,,,,,,,,,,
"d/Includes weapons, drunk driving, and court offenses; habitual offender sanctions; commercialized vice, morals, and decency offenses; and liquor law violations and other public order offenses.",,,,,,,,,,,,,,,,,,,,
e/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics Program and National Corrections Reporting Program, 1991, 2001, 2006, and 2011.",,,,,,,,,,,,,,,,,,,,
