Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: p12tar9112t06.csv,,,,,,,,,,,,,,,,,,,,
"Table 6. Estimated new court commitments to state prison, by sex and most serious offense, 1991, 2001, 2006, and 2011",,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2012: Trends in Admissions and Releases 1991-2012 NCJ 243920,,,,,,,,,,,,,,,,,,,,
"Data source(s): National Prisoner Statistics Program, National Corrections Reporting Program",,,,,,,,,,,,,,,,,,,,
Author(s): E. Ann Carson and Daniela Golinelli,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,
Date of version: 12/19/2013,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,
"Table 6. Estimated new court commitments to state prison, by sex and most serious offense, 1991, 2001, 2006, and 2011",,,,,,,,,,,,,,,,,,,,
,,1991,,,,,2001,,,,,2006,,,,,2011,,,
Most serious offense,,Male,,Female,,,Male,,Female,,,Male,,Female,,,Male,,Female,
,Total,100,%,100,%,,100,%,100,%,,100,%,100,%,,100,%,100,%
Violent,,29.9,%,16.5,%,,30.8,%,17.2,%,,28.9,%,15.8,%,,31.5,%,18.4,%
,Murder/a,3.1,,2.5,,,2.6,,2,,,2.1,,1.4,,,2.4,,1.7,
,Negligent manslaughter,1.2,,1.9,,,0.9,,1.4,,,0.8,,0.9,,,0.8,,1.1,
,Rape/sexual assault,6.1,,0.6,,,6.9,,0.9,,,6.4,,0.8,,,6.3,,1,
,Robbery,10.4,,5.2,,,8.6,,4.4,,,7.2,,4,,,8.3,,4.9,
,Assault,7.7,,5.1,,,9.5,,6,,,10,,6.4,,,11.2,,6.9,
,Other violent,1.4,,1.3,,,2.3,,2.5,,,2.4,,2.4,,,2.4,,2.8,
Property,,31,%,35.7,%,,26.3,%,36.8,%,,25.6,%,36.2,%,,26.4,%,36,%
,Burglary,14.3,,5.2,,,10.9,,5.8,,,10.4,,6.1,,,12.6,,8,
,Larceny,7.4,,15.3,,,6,,12,,,5.5,,10.5,,,5.3,,10.6,
,Motor vehicle theft,2.6,,0.9,,,2.1,,1.3,,,2.5,,2.2,,,1.7,,1.5,
,Fraud,3.1,,11.8,,,3.6,,14.7,,,3.6,,14.2,,,3.1,,11.7,
,Other property,3.7,,2.5,,,3.7,,3.1,,,3.5,,3.2,,,3.7,,4.1,
Drug,,28.8,%,40.9,%,,29.7,%,37.3,%,,28.1,%,34.2,%,,23.9,%,32.5,%
,Possession,6.7,,9.6,,,8.4,,11.7,,,9.2,,12.7,,,7.2,,11.7,
,Other drug/b,22.2,,31.3,,,21.3,,25.6,,,18.9,,21.5,,,16.7,,20.8,
Public order/c,,9.2,%,5.6,%,,12.6,%,8,%,,16.9,%,13.1,%,,17.4,%,12,%
Other/unspecified/d,,1.1,%,1.4,%,,0.5,%,0.7,%,,0.5,%,0.8,%,,0.7,%,1.1,%
,Number of new court commitments,"288,408",,"28,829",,,"325,801",,"39,428",,,"388,081",,"54,030",,,"351,326",,"47,383",
Note: Based on prisoners with a sentence of more than 1 year admitted to state prison on a new court commitment. Detail may not sum to total due to rounding and missing offense data. Admission totals from National Prisoner Statistics Program. Offense distribution based on National Corrections Reporting Program administrative data. See Methodology. Estimates may vary from those previously published due to differences in methodology.,,,,,,,,,,,,,,,,,,,,
a/Includes nonnegligent manslaughter.,,,,,,,,,,,,,,,,,,,,
b/Includes drug trafficking.,,,,,,,,,,,,,,,,,,,,
"c/Includes weapons, drunk driving, and court offenses; habitual offender sanctions; commercialized vice, morals, and decency offenses; and liquor law violations and other public order offenses.",,,,,,,,,,,,,,,,,,,,
d/Includes juvenile offenses and other unspecified offense categories.,,,,,,,,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics Program and National Corrections Reporting Program, 1991, 2001, 2006, and 2011.",,,,,,,,,,,,,,,,,,,,
